
-------------------------------G4_Ar
-------------------------------pi+
### Fill Cross Sections for pi+ off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  336       231.7      0.5457      0.7267        1.272
  337       237.1      0.5421      0.7213        1.263
  338       242.7      0.5385      0.7158        1.254
  339       248.3      0.5347      0.7101        1.245
  340       254.1      0.5324      0.7027        1.235
  341         260      0.5306      0.6945        1.225
  342       266.1      0.5288       0.686        1.215
  343       272.3      0.5269      0.6774        1.204
  344       278.6       0.525      0.6685        1.194
  345       285.1       0.523      0.6595        1.182
  346       291.7       0.521      0.6502        1.171
  347       298.5       0.519      0.6407         1.16
  348       305.5       0.509      0.6361        1.145
  349       312.6      0.4967      0.6329         1.13
  350       319.9      0.4841      0.6295        1.114
  351       327.3      0.4712      0.6261        1.097
  352         335      0.4579      0.6226         1.08
  353       342.8      0.4444       0.619        1.063
  354       350.8       0.431      0.6153        1.046
  355       358.9      0.4215      0.6117        1.033
  356       367.3      0.4119       0.608         1.02
  357       375.8       0.402      0.6043        1.006
  358       384.6      0.3919      0.6004       0.9923
  359       393.6      0.3815      0.5965        0.978
  360       402.7       0.372      0.5931       0.9651
  361       412.1      0.3651      0.5912       0.9563
  362       421.7      0.3581      0.5893       0.9473
  363       431.5      0.3508      0.5873       0.9381
  364       441.6      0.3434      0.5853       0.9287
  365       451.9      0.3365      0.5832       0.9197
  366       462.4      0.3327      0.5811       0.9138
  367       473.2      0.3288       0.579       0.9078
  368       484.2      0.3248      0.5768       0.9016
  369       495.5      0.3207      0.5746       0.8953
  370         507      0.3178      0.5737       0.8915
  371       518.8      0.3157      0.5737       0.8894
  372       530.9      0.3135      0.5737       0.8872
  373       543.3      0.3113      0.5737        0.885
  374       555.9       0.309      0.5737       0.8828
  375       568.9      0.3067      0.5737       0.8804
  376       582.1      0.3043      0.5737       0.8781
  377       595.7      0.3019      0.5737       0.8756
  378       609.5      0.3007      0.5752       0.8758
  379       623.7         0.3      0.5773       0.8772
  380       638.3      0.2992      0.5794       0.8787
  381       653.1      0.2985      0.5816       0.8802
  382       668.3      0.2978      0.5839       0.8817
  383       683.9       0.297      0.5862       0.8832
  384       699.8      0.2962      0.5886       0.8848
  385       716.1      0.2962      0.5902       0.8864
  386       732.8      0.2962      0.5919       0.8881
  387       749.9      0.2962      0.5936       0.8898
  388       767.4      0.2962      0.5953       0.8916
  389       785.2      0.2962      0.5971       0.8933
  390       803.5      0.2964      0.5986       0.8951
  391       822.2      0.2974       0.599       0.8964
